system:index,B11,B12,B2,B4,B5,B6,B7,B8,B8A,EVI,HH_HV_db,HH_db,HV_db,NBR,NDMI,NDRE,NDVI,VH_mean,VV_VH_ratio,VV_mean,VV_std,imsan,plot_id,younggup,.geo
0,1765.7056484336954,668.4789806849536,240.6311475409836,237.6830871611751,753.0801817886705,2853.069225775035,3736.551614997565,3761.3984742736566,3993.665882161987,2.6053084309714167,5.758778389681438,-4.842262276029299,-10.60104066571074,0.6981572279504618,0.3610525706774651,0.6665706869331138,0.8810880527975923,-14.513917355833591,5.998144457083919,-8.515772898749677,1.889405061325051,활엽수림(H),2563321,4영급,"{""type"":""Point"",""coordinates"":[127.6249137091405,36.484633792693394]}"
1,1742.944986185601,687.2090037380137,257.68373151308305,259.6100276287989,821.5570453437344,2826.6506582155043,3606.5110515195834,3694.3838777831943,3878.2030716723543,2.596533362055197,7.485674536706591,-2.4969119281106633,-9.982586464817253,0.6851723036234175,0.357617839180924,0.634662914015033,0.8679847580702806,-14.5780827341836,6.067191269777658,-8.510891464405942,1.7191208451573017,혼효림(M),2563322,5영급,"{""type"":""Point"",""coordinates"":[127.62490733668882,36.48503627441284]}"
2,1494.337605451006,613.1415476963011,295.8709441920831,249.37954250486703,710.5945003244649,2270.7594905905257,2864.1952465931217,2875.1638546398444,3099.8882219338097,3.109540579368772,4.85021770862415,-5.766327797761685,-10.616545506385837,0.6457819772737236,0.3131226476085865,0.6005249324809301,0.8386346792772489,-13.261657690686556,5.505312267238412,-7.756345423448143,2.162156792295265,침엽수림(D),2563323,5영급,"{""type"":""Point"",""coordinates"":[127.62543005768121,36.484356156624386]}"
3,1653.7683441558445,641.6078733766233,254.801948051948,241.1818993506493,685.0473214285712,2472.397808441558,3299.480925324675,3343.5618506493493,3619.407061688312,2.702137375138602,2.55209952788933,-5.665244507432399,-8.21734403532173,0.6761004991969659,0.3361981868909953,0.6584095630923918,0.8642837683224143,-14.422645274976801,6.438775763009751,-7.983869511967053,1.9860922014253735,혼효림(M),2563324,4영급,"{""type"":""Point"",""coordinates"":[127.62443950345015,36.48440512715838]}"
4,1442.1222420506167,657.3174886437379,237.72404282933158,220.57203114860476,632.844094743673,2046.993267358858,2593.954250486697,2621.7111453601556,2826.600827384816,2.7914311301315298,4.3691449913292475,-5.324243257046782,-9.69338824837603,0.5976549561667245,0.28874343708185474,0.6099797081290499,0.8444856419972457,-15.193899676976837,5.649920552541698,-9.543979124435138,1.8430641506968188,혼효림(M),2643281,5영급,"{""type"":""Point"",""coordinates"":[127.71389250960004,36.44806353610085]}"
5,1482.5627234319143,661.8439226519338,237.1690770230744,216.8440851478713,610.4406889827756,1980.856759831004,2569.001137471563,2516.5276243093926,2800.705882352942,2.8345234563309436,0.7601655930480405,-8.0263675718106,-8.786533164858639,0.5821132780369275,0.2574073687801413,0.6080891730677829,0.8404259671491626,-14.37811145558534,5.794313512259866,-8.58379794332548,1.8963586724640535,활엽수림(H),2643282,4영급,"{""type"":""Point"",""coordinates"":[127.71390123164,36.44851729770673]}"
6,1577.8825536062382,728.8205003248863,240.97888239116313,248.47693307342422,673.3754061078621,1944.425519818063,2388.6245938921375,2473.4727907732295,2645.6186647173486,2.5758875184232264,1.3824691706261458,-6.259552251972952,-7.6420214225991,0.5442552902005636,0.22101730373632017,0.5710912316490017,0.8168589417694632,-16.73409017796936,6.287184474684528,-10.44690570328483,2.5756281044572757,혼효림(M),2643283,5영급,"{""type"":""Point"",""coordinates"":[127.71438496789108,36.447832698103]}"
7,1399.0143668831167,618.005762987013,245.40909090909088,231.892288961039,640.1874999999999,2109.7172077922073,2706.370292207792,2615.343344155843,2904.5948863636363,2.7539429742402306,5.386014578698313,-4.699556156449033,-10.085570735147346,0.6179667588076327,0.30350541793592817,0.6060174598207904,0.8364942284686844,-16.094439276465923,5.515973584481958,-10.578465691983963,2.0438176599827456,침엽수림(D),2643284,5영급,"{""type"":""Point"",""coordinates"":[127.71341676811397,36.44784144994213]}"
8,1831.8133019327602,765.5142114666235,325.9597206431704,288.05643982458986,894.0276920578201,2808.6609550105577,3510.2148773753447,3530.8592658762377,3833.1051648530133,2.8897037015430684,3.3421240869740605,-4.884631668088055,-8.226755755062111,0.6430902818845664,0.3163595178753507,0.5943778017047684,0.8482059416274879,-16.726353542884805,6.032048003973911,-10.694305538910895,2.5106086453499508,혼효림(M),2643401,4영급,"{""type"":""Point"",""coordinates"":[127.7148947450574,36.556192908887375]}"
9,1951.4673913043478,833.1563108371189,330.9724205061649,297.49099610642446,920.1686404931862,3034.582981829981,3781.5494808565873,3787.6827547047374,4099.5319597663865,2.825901409091767,2.4763434817023557,-3.5586964859552936,-6.035039967657648,0.6390823450228638,0.3196996251095608,0.6077695571311359,0.8533381742529386,-18.995226275755687,6.308430176085449,-12.686796099670236,2.8680624587379073,활엽수림(H),2643402,4영급,"{""type"":""Point"",""coordinates"":[127.71490544991183,36.55665268782884]}"
10,2109.36985079468,865.6635582225106,323.2415666558547,284.68083036003884,889.4210184884853,3018.253243593902,3869.7627311060646,3849.238241972104,4277.300924424263,2.846356457430617,3.0787293132706295,-4.523381143160274,-7.602110456430904,0.6325024765779089,0.2916875835737124,0.6243832421531015,0.8621367234005743,-18.145667569347392,6.4573744362748355,-11.688293133072557,2.3210234636101346,활엽수림(H),2643403,4영급,"{""type"":""Point"",""coordinates"":[127.71537417079016,36.55597737452298]}"
11,1814.101524489134,747.8397664612392,323.729970807655,266.49351281219595,893.8272786247159,2765.4568602011027,3428.3076548816093,3393.6392312682456,3728.9917288355496,3.050069288808991,5.392704029213214,-11.316348881710582,-16.709052910923788,0.6386919961406078,0.303033446614156,0.5826345226898445,0.8541295706078461,-10.480954221577516,6.254049752198116,-4.226904469379401,3.276879928140631,활엽수림(H),2643404,6영급,"{""type"":""Point"",""coordinates"":[127.71441996014384,36.55597767683094]}"
12,1640.6394067109738,784.7330199384013,345.2526341384341,324.524071972767,832.2557951045551,2441.438563786675,3017.2238612416927,2944.031852812448,3265.5431188199054,2.8578891247239873,4.739758079904861,-6.3207483876265504,-11.060506467531411,0.580859436855087,0.28491017329914875,0.5587168079498122,0.8008212789049255,-10.768901725592459,5.624288112863225,-5.144613612729232,2.384457190549963,혼효림(M),2683361,4영급,"{""type"":""Point"",""coordinates"":[127.7592188307212,36.519873477732915]}"
13,1480.1502674663636,666.9938401685847,308.8123682930783,293.2029502350461,734.9958664289186,2216.8742097584695,2748.8944723618088,2665.113389528286,2984.3824769006324,2.8207893642697695,1.8273405098596556,-8.972250865645496,-10.79959137550515,0.599748795696655,0.2855468344372636,0.5669377714189312,0.8009886628023193,-13.445223082483826,5.947960713762159,-7.497262368721666,2.198123602722327,활엽수림(H),2683362,4영급,"{""type"":""Point"",""coordinates"":[127.75922955093995,36.520331722148974]}"
14,1535.3631049041899,700.8358233192596,352.8266482624229,336.5178629425139,825.8688697629102,2292.2014452744393,2821.1544332575513,2757.6674244884703,3025.9839233517373,2.8652257069631824,4.584221860004142,-5.122389320400607,-9.706611180404748,0.5937457773131855,0.283661436530207,0.5361588923753745,0.7801518631385942,-10.824340908111806,5.0509244499182,-5.773416458193603,2.476538919559017,침엽수림(D),2683363,4영급,"{""type"":""Point"",""coordinates"":[127.75969809424043,36.51964253763457]}"
15,2279.0840765364037,1304.5002432300962,628.9891357223935,822.498540619426,1363.3907086103459,2655.7140424841905,3089.9235446732614,3082.015161342631,3295.035025133777,1.7436939129822941,5.405942274463802,-6.896223003002104,-12.302165277465903,0.402343555214995,0.14724171574890496,0.3849322460049393,0.5778266206451507,-15.434082551490281,7.0002987171874205,-8.433783834302867,1.9418898651378556,nan,2683364,nan,"{""type"":""Point"",""coordinates"":[127.75874167803212,36.51965681336025]}"
16,1851.1547657774886,742.4468119713725,257.92810670136623,225.5566037735849,716.637605725439,2963.961776187378,3905.235035783994,3883.833848405985,4234.417127521145,2.769939066893169,2.0439935843854755,-6.675722031913626,-8.719715616299098,0.678800885698342,0.3541767194219076,0.6882519708692022,0.8901683936268059,-19.82882889782558,7.280438193148428,-12.548390704677152,4.290324092891264,활엽수림(H),2723241,5영급,"{""type"":""Point"",""coordinates"":[127.80275238871717,36.41146290522978]}"
17,1755.1843516412087,695.5426551836204,260.99951251218715,231.58376665583359,698.9222456938576,2870.5772668183295,3733.9436951576204,3719.1941013974642,4004.324504387389,2.780470913549492,2.98778119946546,-7.405708524280605,-10.393489723746065,0.6841371743370829,0.35769698932955657,0.6829780472003878,0.8823045699873855,-18.749809658807497,6.497358759670674,-12.252450899136818,3.890513453082742,혼효림(M),2723242,5영급,"{""type"":""Point"",""coordinates"":[127.80276849868466,36.41190255302412]}"
18,1851.9444986979172,736.564127604167,264.5327148437501,231.69490559895846,687.205729166667,2844.469238281251,3818.7692057291683,3783.3792317708353,4167.284016927086,2.78540286766438,3.141623756774568,-6.322039494771312,-9.463663251545881,0.6724190589769482,0.3407110114014903,0.6916277012802156,0.8840078879304963,-18.402752758030907,7.317863314906336,-11.084889443124567,3.5133167096079445,활엽수림(H),2723243,4영급,"{""type"":""Point"",""coordinates"":[127.80321877295638,36.4112273712571]}"
19,1895.4502030869219,763.8629569455726,257.57538586515034,234.0465475223396,730.3640129975631,2986.2001624695376,3973.9069049553227,3971.442648253453,4269.530787977255,2.714786062152175,4.347748159509935,-5.410062616211658,-9.757810775721593,0.6771736358523879,0.35359383182165927,0.6892540397699805,0.8886180067597733,-19.639853028070977,6.964654283450807,-12.675198744620172,3.822744217594418,혼효림(M),2723244,5영급,"{""type"":""Point"",""coordinates"":[127.80226231485233,36.411237212982414]}"
20,1844.9917288355496,848.9544275056762,278.63623094388583,284.083279273435,814.3465780084335,2518.2072656503406,3091.2414855660077,3202.526435290301,3360.3665261109304,2.596274633140085,4.48209737212554,-9.451573802803678,-13.933671174929222,0.5810403063318618,0.26822703739244264,0.5939038879498313,0.8372117430541758,-11.724996574166038,6.451878671873934,-5.273117902292104,4.11794765630205,활엽수림(H),2563281,4영급,"{""type"":""Point"",""coordinates"":[127.62467511301959,36.44857001666954]}"
21,1628.4989456609896,743.3080291970803,252.88499594485003,230.3501216545012,697.5146796431469,2416.5187347931874,2990.4558799675583,3041.5769667477693,3219.0154095701537,2.7971768774668275,4.4181687666991465,-7.91902023602197,-12.337189002721123,0.6071634664143715,0.30185011122642574,0.6258265064407702,0.8587721025736392,-8.286578996196921,6.10953223856081,-2.17704675763611,4.151227148859159,활엽수림(H),2563282,4영급,"{""type"":""Point"",""coordinates"":[127.62467101334988,36.44901970886371]}"
22,1852.382515437114,779.8551348716284,280.4815567110822,264.66850828729287,785.16598960026,2738.771936951576,3402.5498862528434,3485.2254631134238,3676.09554761131,2.7146178312954405,3.5890751020345584,-7.580574664682592,-11.169649766717152,0.6319944838371603,0.30374967637184835,0.6304004307181363,0.8580933387643578,-8.603004889372952,6.82725192222701,-1.775752967145937,3.7085749397400263,혼효림(M),2563283,5영급,"{""type"":""Point"",""coordinates"":[127.62515031608186,36.4483514406653]}"
23,1713.8016709928618,749.8078358208955,247.44727449707977,240.4682024659312,700.0941758598312,2422.6479558728092,3186.9334036340038,3158.2214471122643,3477.2115509409477,2.6711637609544328,4.456969597151138,-4.521139821158403,-8.978109418309543,0.6152669873800621,0.2951977171914842,0.6366038191945891,0.8579134410442022,-18.05835064358091,6.284451303638853,-11.773899339942053,3.025693061810543,활엽수림(H),2563284,5영급,"{""type"":""Point"",""coordinates"":[127.62418150956832,36.44835676848268]}"
24,1631.5738129962729,716.8724679954626,307.47577378058656,298.968076486793,735.3605574461188,2202.0614163020578,2672.0568789499266,2788.8601523253933,2974.919299951385,2.7544129506507327,5.458951023732118,-5.144023043535133,-10.602974067267251,0.5881828680742197,0.25887074076612376,0.5805228722164292,0.8048609897181219,-15.077381659421581,6.469007316664712,-8.60837434275687,1.8970715460321457,활엽수림(H),2563401,4영급,"{""type"":""Point"",""coordinates"":[127.62553987396818,36.556693676624825]}"
25,1508.8386286270058,678.6727994812773,306.047900794294,312.3233100988814,774.5406873075051,2398.1200356621816,3006.420084292429,3063.065164532339,3269.962149456962,2.6059523062127634,3.591531111389078,-5.6959686627329855,-9.287499774122063,0.6362091231386593,0.3390027333691148,0.5954123018211307,0.8142020317440167,-14.373103947745284,6.2351885463747765,-8.137915401370508,1.6140704045650431,혼효림(M),2563402,4영급,"{""type"":""Point"",""coordinates"":[127.62554034976544,36.55715568223528]}"
26,1705.0059291747884,769.1974496426251,329.4037524366471,326.2975958414555,843.5882878492527,2441.6230506822617,2982.937134502923,3083.7504061078625,3276.582764782326,2.6835655205174036,4.73922438574898,-5.540152485103786,-10.279376870852762,0.5998730138395595,0.28692751706393976,0.5697263353372267,0.8076323774833816,-15.294588966970618,5.92500300040126,-9.369585966569353,2.026921444514185,활엽수림(H),2563403,3영급,"{""type"":""Point"",""coordinates"":[127.62601818054465,36.55647409076938]}"
27,1735.9535128995624,802.6810806425443,310.5240954080805,337.9459678727893,807.2226188544539,2276.886175563849,2788.8376602304074,2791.1938179458057,3086.7885769917243,2.5095781794285523,4.776488508199259,-5.2835087115387624,-10.05999721973802,0.5492336581205918,0.22871277077279903,0.5486354271109299,0.7819562775261265,-15.527220087662212,6.024409882767724,-9.50281020489449,1.9460348591867704,활엽수림(H),2563404,3영급,"{""type"":""Point"",""coordinates"":[127.6250519666362,36.55648329267257]}"
28,2831.5056901316852,1767.9901642009424,651.7050073158834,1107.9268411640383,1586.5337343521376,2837.807185823442,3294.780848642495,3285.508779060315,3446.3814013981464,1.357324390993726,8.396337623383872,-4.91078793922013,-13.307125562603998,0.31752109005943047,0.08446368744289258,0.3631096654026365,0.5284955583346261,-14.086268562753144,7.977894042159217,-6.108374520593929,2.480244681235457,nan,2603321,nan,"{""type"":""Point"",""coordinates"":[127.66960291226412,36.484372756273444]}"
29,2241.7229521492286,1168.3646390916465,405.8824006488238,438.47120843471214,1085.3656123276558,2777.3763179237626,3276.6665044606643,3363.8246553122463,3507.8887266828874,2.4860487701348966,7.354735009013052,-7.056063802380379,-14.410798811393434,0.4844795206053943,0.20014002096649716,0.5122128418358072,0.769211146330994,-16.457075228159148,6.549390868583591,-9.907684359575562,2.4036854150154268,nan,2603322,nan,"{""type"":""Point"",""coordinates"":[127.66961722960329,36.4848315346351]}"
30,1852.8482635507953,879.5924212917886,300.6943362544629,338.45447906523856,857.5284810126582,2671.0790327815653,3238.3801525478743,3283.5229633235963,3458.545196364816,2.4575026606510155,6.9086879224245035,-3.292642525198496,-10.201330447623002,0.5802810221052704,0.28056615431341597,0.5885340581998217,0.8146757514803112,-14.03387611659855,7.930106737428483,-6.103769379170072,3.2511686338357997,혼효림(M),2603323,5영급,"{""type"":""Point"",""coordinates"":[127.67007528977489,36.484152576270375]}"
31,3815.166828793774,2890.035505836576,1026.3471141374835,1990.567607003891,2440.37880998703,3176.8499513618676,3499.9547665369655,3441.7520265888447,3570.954847600518,0.5340384576692221,9.666618719615466,-6.98446430939643,-16.651083029011893,0.09059245708172389,-0.04992578076055377,0.1729578529528239,0.27832743514799485,-18.113520329013802,8.217652748639912,-9.895867580373897,2.305401062487912,nan,2603324,nan,"{""type"":""Point"",""coordinates"":[127.66911405240178,36.484141917843296]}"
32,1851.9758116883122,737.7209415584416,261.6079545454545,236.73165584415582,777.2300324675326,2813.3883116883117,3819.2590909090914,3922.302272727273,4130.221103896104,2.7258099216784726,4.477944018988075,-4.4376417863856865,-8.91558580537376,0.6829639989130962,0.3579796298305162,0.6691457518822658,0.886060386922682,-18.55221177236095,6.763869857838489,-11.788341914522457,4.062003487053943,활엽수림(H),2643241,5영급,"{""type"":""Point"",""coordinates"":[127.71355497566447,36.41201717184368]}"
33,1884.48074735987,743.3238830219333,263.35117790414296,240.94890333062546,849.6939886271323,2917.4242891957756,3887.321689683184,3972.5694557270504,4236.714297319252,2.709994323926483,4.170411124194481,-6.2562495531451265,-10.426660677339605,0.6846899316837706,0.35648542678850653,0.6476446083190003,0.8855450295009404,-20.405673896788418,6.285486778495338,-14.120187118293076,4.366731748569943,활엽수림(H),2643242,5영급,"{""type"":""Point"",""coordinates"":[127.71357625768468,36.41251663947006]}"
34,1797.71630629166,779.8920500731585,257.26385953503495,238.53666070557625,714.3256381076247,2525.7382539424484,3397.673874166802,3479.0915298325467,3703.5777922289058,2.7162518061203422,3.065231559825954,-7.7035383239640085,-10.768769883789957,0.6291665829899395,0.31403493105587815,0.6581116862396376,0.869908995638511,-19.887971383963677,7.05632488291503,-12.831646501048644,4.182529941459457,활엽수림(H),2643243,4영급,"{""type"":""Point"",""coordinates"":[127.71402246990894,36.41178756531799]}"
35,1686.135736320831,705.6181198246466,264.6320831303782,243.0147751258321,713.8142555609678,2580.789251501867,3460.7036856632562,3450.6354927748002,3740.2479298587427,2.74464803344645,4.150597911480963,-5.575830858125743,-9.726428769606706,0.660189388391873,0.34352661761089076,0.6570429602741267,0.8680281800560927,-20.500268208441206,6.695769931411144,-13.804498277030067,4.773737497716558,활엽수림(H),2643244,5영급,"{""type"":""Point"",""coordinates"":[127.71322598070114,36.41172481925819]}"
36,2631.4713427504457,1924.0571521350864,942.1639064783242,817.6867186231532,1278.6621204741027,2411.921984088326,3043.520376684526,3082.4298587433022,3336.584185744438,-0.29203715400803576,3.556640400012551,-7.746784823183564,-11.303425223196113,0.24795930261510674,0.08181836103640312,0.4133478773792978,0.5874010108814836,-19.023903094704053,6.50434174114802,-12.519561353556028,3.9657504942523207,nan,2643361,nan,"{""type"":""Point"",""coordinates"":[127.7145485360461,36.52014959511568]}"
37,2282.2831413272756,1602.0993022878465,720.5197955541131,758.9639785818595,1197.5498134025638,2230.2241603115363,2676.8671913029366,2688.6349180593857,2867.9168424468594,3.174347804532005,4.822916976194447,-7.948676450751501,-12.771593426945945,0.25221834824416506,0.07731233419539953,0.37872340359330753,0.5545178818498268,-17.91528685607743,6.878698748769608,-11.036588107307823,2.701559743852646,nan,2643362,nan,"{""type"":""Point"",""coordinates"":[127.71453457062928,36.52061087604812]}"
38,2822.298572818684,2400.2403503081423,1337.6873175478431,1258.8968537139153,1548.7684073953951,2124.4228024651325,2579.4787544599426,2646.9129095037306,2798.4416153097636,2.5187148062889224,4.876797069651667,-7.278773196703956,-12.155570266355626,0.05554514238686056,-0.030082039108621027,0.26055011865933336,0.3586729020564546,-13.67033914348248,6.605331158180284,-7.065007985302197,3.400965443024279,nan,2643363,nan,"{""type"":""Point"",""coordinates"":[127.71501365084413,36.51993144416486]}"
39,2097.665774099319,1032.7070756247974,370.58065563128866,392.14995131450826,1068.4878286270693,2974.1871957156773,3634.607026939307,3669.554933463162,3904.2646056475173,2.54791547160562,0.8119274654109229,-9.210475686914593,-10.022403152325518,0.5609447656254518,0.2714970412526364,0.5481990978903785,0.807727349385527,-15.886351174466935,6.37007830692293,-9.516272867544002,2.4189445492898245,활엽수림(H),2643364,3영급,"{""type"":""Point"",""coordinates"":[127.71406262688875,36.51991442070166]}"
40,2004.0005680895965,1024.0551858464537,384.9315046258725,430.94797922415205,1080.496997240708,3067.20297029703,3708.933858139913,3794.364713520533,4083.5391170264584,2.418748716836789,6.220076466144743,-7.291512655381111,-13.511589121525853,0.5747528632740216,0.3081914456600014,0.5566304228864448,0.7977859238784639,-13.030746730396206,6.04480097091571,-6.985945759480499,2.2995689421415633,침엽수림(D),2603281,5영급,"{""type"":""Point"",""coordinates"":[127.66928774937604,36.44833590318871]}"
