분기,수종_구분,거리구간,소운반비_원_per_m3,source_pdf
2024Q4,침엽수,"500-1,000m",10300,2025년_1분기_원목시장가격조사_보고서.pdf
2024Q4,침엽수,"1,000-2,000m",17300,2025년_1분기_원목시장가격조사_보고서.pdf
2024Q4,침엽수,"2,000-4,000m",20700,2025년_1분기_원목시장가격조사_보고서.pdf
2024Q4,활엽수,"500-1,000m",12800,2025년_1분기_원목시장가격조사_보고서.pdf
2024Q4,활엽수,"1,000-2,000m",20400,2025년_1분기_원목시장가격조사_보고서.pdf
2024Q4,활엽수,"2,000-4,000m",24400,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,"500-1,000m",10300,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,"1,000-2,000m",17300,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,"2,000-4,000m",20700,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,"500-1,000m",12800,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,"1,000-2,000m",20400,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,"2,000-4,000m",24400,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,"500-1,000m",9300,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,"1,000-2,000m",16400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,"2,000-4,000m",18400,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,"500-1,000m",11600,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,"1,000-2,000m",18100,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,"2,000-4,000m",21800,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,"500-1,000m",9300,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,"1,000-2,000m",16400,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,"2,000-4,000m",18400,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,"500-1,000m",11600,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,"1,000-2,000m",18100,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q4,활엽수,"2,000-4,000m",21800,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,"500-1,000m",11600,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,"1,000-2,000m",18100,2025년_4분기_원목시장가격조사_보고서.pdf
2025Q3,활엽수,"2,000-4,000m",21800,2025년_4분기_원목시장가격조사_보고서.pdf
