분기,수종_구분,적재량,거리구간,운반비_원_per_m3,source_pdf
2025Q1,침엽수,25톤,50km 이내,15100,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,50-100km,18200,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,100-150km,27000,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,150-200km,29600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,200-250km,31600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,250-300km,35600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,25톤,300km 이상,38400,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,50km 이내,14700,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,50-100km,17900,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,100-150km,26700,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,150-200km,28600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,200-250km,30100,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,250-300km,33800,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,침엽수,5톤,300km 이상,35100,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,50km 이내,18700,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,50-100km,20100,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,100-150km,29800,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,150-200km,32500,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,200-250km,34900,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,250-300km,39400,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,25톤,300km 이상,42400,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,50km 이내,18200,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,50-100km,19800,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,100-150km,29600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,150-200km,31300,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,200-250km,33100,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,250-300km,37200,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q1,활엽수,5톤,300km 이상,38600,2025년_1분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,50km 이내,15400,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,50-100km,18500,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,100-150km,27500,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,150-200km,30200,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,200-250km,32100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,250-300km,36100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,25톤,300km 이상,38900,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,50km 이내,15000,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,50-100km,18200,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,100-150km,27100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,150-200km,29100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,200-250km,30400,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,250-300km,34700,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,침엽수,5톤,300km 이상,35700,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,50km 이내,19100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,50-100km,20400,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,100-150km,30300,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,150-200km,33100,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,200-250km,35500,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,250-300km,39900,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,25톤,300km 이상,43000,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,50km 이내,18500,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,50-100km,20200,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,100-150km,30000,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,150-200km,31800,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,200-250km,33500,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,250-300km,38200,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q2,활엽수,5톤,300km 이상,39200,2025년_2분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,50km 이내,14600,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,50-100km,17500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,100-150km,25200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,150-200km,28500,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,200-250km,30700,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,250-300km,34900,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,25톤,300km 이상,36200,2025년_3분기_원목시장가격조사_보고서.pdf
2025Q3,침엽수,5톤,50km 이내,14300,2025년_3분기_원목시장가격조사_보고서.pdf
