date,tmean,tmin,tmax,n_stations,stations
2022-01-01,-6.53,-11.87,-1.2,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-02,-2.02,-6.78,2.73,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-03,-4.04,-7.88,-0.2,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-04,-0.59,-2.17,0.98,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-05,-2.85,-8.03,2.33,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-06,-1.57,-4.83,1.68,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-07,-2.11,-7.03,2.82,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-08,-1.5,-6.1,3.1,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-09,2.11,-0.05,4.27,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-10,0.11,-4.25,4.47,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-11,-5.58,-6.45,-4.7,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-12,-8.37,-13.07,-3.67,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-13,-6.58,-9.3,-3.85,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-14,-6.48,-11.42,-1.55,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-15,-2.02,-7.15,3.1,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-16,0.14,0.23,0.05,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-17,-5.1,-9.28,-0.92,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-18,-6.88,-11.42,-2.33,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-19,-4.85,-9.67,-0.03,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-20,-5.71,-11.25,-0.17,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-21,-2.68,-9.03,3.68,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-22,2.5,-1.62,6.62,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-23,4.45,1.52,7.38,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-24,3.1,0.45,5.75,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-25,0.2,-0.38,0.78,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-26,1.41,-0.77,3.58,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-27,-0.88,-4.6,2.85,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-28,-2.39,-6.5,1.72,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-29,-3.68,-7.57,0.2,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-30,-4.07,-8.7,0.57,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-01-31,-2.51,-7.55,2.53,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-01,-1.94,-2.7,-1.18,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-02,-1.92,-4.1,0.27,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-03,-2.93,-5.75,-0.12,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-04,-4.41,-7.6,-1.22,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-05,-7.17,-11.08,-3.25,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-06,-5.23,-9.77,-0.68,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-07,-4.49,-8.65,-0.33,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-08,-1.53,-6.35,3.3,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-09,0.13,-6.1,6.35,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-10,1.92,-1.8,5.63,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-11,1.56,-3.98,7.1,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-12,3.93,-1.62,9.47,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-13,4.63,0.83,8.43,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-14,4.18,-0.17,8.53,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-15,-3.88,-4.12,-3.65,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-16,-7.97,-10.65,-5.28,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-17,-8.22,-12.85,-3.58,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-18,-3.0,-10.45,4.45,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
2022-02-19,-0.85,-2.68,0.98,6,"가덕산,금단산,노성산,삼승산,시루산,염동산"
