month,tmean,tmin,tmax,n_days,avg_n_stations
2022-01,-2.42,-6.21,1.37,31,6.0
2022-02,-1.71,-5.96,2.55,28,6.0
2022-03,6.75,2.42,11.08,31,6.0
2022-04,13.23,7.34,19.12,30,6.0
2022-05,16.92,11.0,22.84,31,5.9
2022-06,21.26,17.49,25.04,30,6.0
2022-07,24.49,21.45,27.53,31,6.0
2022-08,23.67,21.22,26.13,31,6.0
2022-09,19.97,16.07,23.87,30,5.9
2022-10,13.2,9.27,17.14,31,6.0
2022-11,9.2,5.29,13.12,30,6.0
2022-12,-3.67,-6.82,-0.51,31,5.9
2023-01,-1.96,-5.35,1.42,31,6.0
2023-02,1.55,-2.63,5.73,28,6.0
2023-03,9.29,3.78,14.79,31,6.0
2023-04,12.24,7.31,17.17,30,6.0
2023-05,17.22,12.48,21.95,31,6.0
2023-06,21.48,17.16,25.8,30,5.97
2023-07,24.47,21.76,27.17,31,5.77
2023-08,25.47,22.16,28.78,31,6.0
2023-09,21.35,18.14,24.55,30,6.0
2023-10,13.99,9.71,18.26,31,6.0
2023-11,6.5,3.0,10.01,30,5.97
2023-12,0.86,-2.0,3.71,31,5.68
2024-01,-0.93,-3.77,1.91,31,6.0
2024-02,2.95,0.34,5.56,29,6.0
2024-03,5.72,1.31,10.13,31,5.94
2024-04,14.85,9.9,19.8,30,6.0
2024-05,16.61,11.41,21.81,31,5.9
2024-06,20.84,15.43,26.24,14,5.79
2024-07,24.35,22.09,26.6,31,3.0
2024-08,26.44,23.04,29.84,31,3.0
2024-09,23.58,20.41,26.75,30,3.0
2024-10,14.41,11.88,16.94,30,3.0
2024-11,8.76,5.69,11.83,29,3.62
2024-12,-0.08,-3.06,2.9,31,5.65
2025-01,-1.59,-4.92,1.73,31,5.0
2025-02,-2.05,-6.0,1.89,28,5.64
2025-03,6.97,2.42,11.51,31,6.0
2025-04,12.92,7.33,18.52,30,6.0
2025-05,15.9,11.45,20.34,31,6.0
2025-06,22.16,18.04,26.29,30,6.0
2025-07,25.92,22.18,29.66,31,6.0
2025-08,26.18,22.69,29.66,31,6.0
2025-09,21.75,19.0,24.5,30,6.0
2025-10,15.46,12.73,18.18,31,6.0
2025-11,7.99,3.92,12.05,30,6.0
2025-12,0.88,-2.09,3.85,31,6.0
2026-01,-3.58,-7.12,-0.04,31,6.0
2026-02,1.63,-2.58,5.84,28,6.0
2026-03,6.94,1.89,11.99,31,6.0
2026-04,13.37,7.96,18.78,30,6.0
2026-05,16.73,11.26,22.21,22,6.0
